 	Area	X	Y	Major	Minor	Angle
1	3.332	0.864	3.345	5.517	0.769	92.814
2	1.415	3.390	1.548	3.725	0.484	103.205
3	0.050	12.465	0.141	0.331	0.194	164.330
4	0.032	13.880	0.097	0.238	0.171	166.790
5	0.058	1.399	0.163	0.280	0.262	167.514
6	0.085	10.109	0.219	0.363	0.299	176.617
7	0.198	3.869	0.574	0.902	0.279	95.620
8	0.006	14.482	0.098	0.093	0.082	135.000
9	0.380	14.320	0.495	0.910	0.531	7.964
10	0.340	11.246	0.627	1.205	0.360	22.603
11	0.137	2.288	0.684	0.660	0.265	93.373
12	0.041	1.615	0.564	0.332	0.158	85.510
13	0.142	2.664	0.747	0.763	0.237	93.554
14	0.025	10.378	0.559	0.197	0.160	60.072
15	0.025	14.531	0.676	0.211	0.152	92.954
16	0.044	10.403	0.878	0.362	0.153	96.035
17	0.014	14.833	0.846	0.144	0.124	65.804
18	0.260	14.436	1.838	1.143	0.289	128.199
19	0.055	6.980	1.631	0.359	0.194	34.454
20	0.023	13.771	1.661	0.211	0.138	80.544
21	0.022	13.830	1.997	0.207	0.138	127.975
22	0.203	13.779	2.584	0.818	0.316	78.462
23	0.032	8.456	2.801	0.229	0.178	44.003
24	0.026	5.820	3.030	0.233	0.144	143.326
25	0.156	2.163	3.261	0.650	0.305	84.470
26	0.352	14.558	3.451	0.948	0.473	165.319
27	0.204	5.699	3.461	0.866	0.299	20.473
28	0.045	13.686	3.333	0.287	0.199	0.375
29	0.083	2.592	3.479	0.424	0.250	95.057
30	0.124	5.024	3.613	0.493	0.321	130.769
31	0.062	0.098	3.716	0.418	0.187	96.911
32	0.044	13.858	3.717	0.287	0.193	103.766
33	0.649	2.809	4.561	1.189	0.695	130.531
34	0.038	4.995	4.231	0.243	0.201	16.136
35	0.270	5.858	4.443	1.229	0.279	166.338
36	3.386	5.897	6.977	5.846	0.737	133.685
37	0.023	1.598	4.581	0.230	0.126	32.993
38	0.011	7.270	4.640	0.172	0.083	144.485
39	0.074	14.873	4.919	0.399	0.236	99.776
40	0.092	5.589	5.169	0.620	0.188	93.017
41	0.136	14.162	5.140	0.725	0.239	145.186
42	0.172	2.187	5.180	0.597	0.367	171.018
43	0.087	13.339	5.158	0.397	0.280	33.583
44	0.094	5.220	5.319	0.534	0.223	93.808
45	0.401	3.413	5.973	1.422	0.359	139.453
46	0.266	14.775	5.712	0.777	0.437	91.617
47	0.017	0.423	5.434	0.229	0.096	52.053
48	0.032	12.637	5.783	0.258	0.156	103.555
49	0.092	13.034	6.043	0.505	0.233	125.996
50	0.410	14.063	6.546	0.983	0.531	140.181
51	0.118	6.151	6.331	0.652	0.231	142.697
52	0.026	7.110	6.491	0.212	0.154	141.153
53	0.038	6.500	6.691	0.221	0.216	155.972
54	0.227	4.499	7.124	0.865	0.335	119.955
55	0.403	0.882	7.340	1.352	0.379	87.151
56	0.014	7.857	6.686	0.144	0.124	102.395
57	0.284	0.188	7.423	1.017	0.355	98.242
58	0.040	6.814	7.126	0.244	0.208	171.434
59	0.356	7.880	7.747	0.916	0.495	110.273
60	0.094	1.482	8.343	0.713	0.168	91.469
61	0.028	13.168	8.258	0.231	0.152	54.904
62	0.088	4.998	8.541	0.590	0.191	60.932
63	0.045	3.811	8.991	0.313	0.184	97.440
64	0.203	4.088	9.701	1.130	0.228	88.990
65	0.206	0.621	9.916	0.859	0.305	107.833
66	0.168	3.694	9.823	0.582	0.367	77.805
67	0.165	8.406	9.836	0.645	0.326	118.908
68	0.034	9.486	9.719	0.250	0.171	138.036
69	0.662	11.440	10.616	1.844	0.457	98.775
70	3.712	10.784	12.130	5.023	0.941	141.013
71	0.032	0.114	10.073	0.353	0.117	94.226
72	0.046	14.890	10.054	0.327	0.179	106.842
73	0.032	9.822	10.104	0.263	0.155	116.413
74	0.075	3.210	10.597	0.347	0.274	43.448
75	0.026	8.509	10.671	0.237	0.138	167.101
76	0.031	8.624	10.913	0.238	0.167	145.261
77	0.294	0.350	11.636	0.919	0.408	76.021
78	0.025	0.903	11.318	0.241	0.131	127.724
79	0.069	0.880	11.670	0.477	0.185	86.592
80	0.040	2.442	11.785	0.254	0.202	42.322
81	0.155	1.410	12.045	0.595	0.332	49.719
82	0.131	0.731	12.231	0.429	0.389	7.678
83	0.018	8.595	12.082	0.199	0.113	7.108
84	0.020	12.170	12.160	0.239	0.106	162.136
85	0.048	14.827	12.518	0.368	0.166	92.649
86	0.026	0.092	12.629	0.227	0.146	86.504
87	0.044	0.599	12.656	0.297	0.189	98.530
88	0.046	9.266	12.641	0.302	0.192	141.533
89	0.600	0.536	13.799	1.646	0.465	79.268
90	0.029	10.131	13.472	0.279	0.132	105.193
91	0.319	11.283	13.873	0.908	0.447	166.284
92	0.029	12.120	13.654	0.200	0.183	164.700
93	0.022	12.426	14.138	0.244	0.117	0.139
94	0.042	10.513	14.350	0.348	0.152	15.727
95	0.574	11.987	14.694	1.093	0.669	13.469
96	0.028	12.957	14.349	0.254	0.140	11.806
97	0.084	10.053	14.625	0.512	0.210	88.201
98	0.048	13.257	14.507	0.320	0.193	140.680
99	0.033	9.727	14.648	0.241	0.173	28.648
100	0.010	13.012	14.616	0.150	0.085	176.927
101	0.052	14.666	14.814	0.347	0.192	112.912
102	0.017	13.443	14.813	0.213	0.103	175.153
